date,price,quantity
Jan 27 2024 16: +0,0.306,3174
Jan 27 2024 17: +0,0.304,3738
Jan 27 2024 18: +0,0.311,3648
Jan 27 2024 19: +0,0.315,3760
Jan 27 2024 20: +0,0.322,3655
Jan 27 2024 21: +0,0.326,3497
Jan 27 2024 22: +0,0.327,3864
Jan 27 2024 23: +0,0.337,3355
Jan 28 2024 00: +0,0.34,2772
Jan 28 2024 01: +0,0.348,2272
Jan 28 2024 02: +0,0.35,1916
Jan 28 2024 03: +0,0.355,2340
Jan 28 2024 04: +0,0.357,2125
Jan 28 2024 05: +0,0.36,2281
Jan 28 2024 06: +0,0.366,2843
Jan 28 2024 07: +0,0.36,2130
Jan 28 2024 08: +0,0.36,2666
Jan 28 2024 09: +0,0.348,2077
Jan 28 2024 10: +0,0.33,1852
Jan 28 2024 11: +0,0.324,2178
Jan 28 2024 12: +0,0.331,3415
Jan 28 2024 13: +0,0.32,2917
Jan 28 2024 14: +0,0.315,3142
Jan 28 2024 15: +0,0.31,2579
Jan 28 2024 16: +0,0.31,2519
Jan 28 2024 17: +0,0.324,3323
Jan 28 2024 18: +0,0.31,2815
Jan 28 2024 19: +0,0.312,3147
Jan 28 2024 20: +0,0.32,3202
Jan 28 2024 21: +0,0.314,2788
Jan 28 2024 22: +0,0.323,2526
Jan 28 2024 23: +0,0.326,2192
Jan 29 2024 00: +0,0.333,1808
Jan 29 2024 01: +0,0.34,1783
Jan 29 2024 02: +0,0.34,1819
Jan 29 2024 03: +0,0.333,1680
Jan 29 2024 04: +0,0.333,1403
Jan 29 2024 05: +0,0.32,2077
Jan 29 2024 06: +0,0.34,1840
Jan 29 2024 07: +0,0.34,1572
Jan 29 2024 08: +0,0.34,1680
Jan 29 2024 09: +0,0.337,1862
Jan 29 2024 10: +0,0.328,1492
Jan 29 2024 11: +0,0.32,1691
Jan 29 2024 12: +0,0.32,1731
Jan 29 2024 13: +0,0.31,1819
Jan 29 2024 14: +0,0.315,2210
Jan 29 2024 15: +0,0.31,2026
Jan 29 2024 16: +0,0.324,2877
Jan 29 2024 17: +0,0.32,2925
Jan 29 2024 18: +0,0.313,2654
Jan 29 2024 19: +0,0.315,2792
Jan 29 2024 20: +0,0.312,2492
Jan 29 2024 21: +0,0.32,2817
Jan 29 2024 22: +0,0.322,2575
Jan 29 2024 23: +0,0.322,1816
Jan 30 2024 00: +0,0.324,1585
Jan 30 2024 01: +0,0.32,1530
Jan 30 2024 02: +0,0.32,1571
Jan 30 2024 03: +0,0.324,1570
Jan 30 2024 04: +0,0.324,1815
Jan 30 2024 05: +0,0.34,2027
Jan 30 2024 06: +0,0.338,1980
Jan 30 2024 07: +0,0.32,1469
Jan 30 2024 08: +0,0.329,2072
Jan 30 2024 09: +0,0.324,2098
Jan 30 2024 10: +0,0.316,1692
Jan 30 2024 11: +0,0.32,1779
Jan 30 2024 12: +0,0.314,2181
Jan 30 2024 13: +0,0.313,2389
Jan 30 2024 14: +0,0.313,2622
Jan 30 2024 15: +0,0.313,2735
Jan 30 2024 16: +0,0.313,2828
Jan 30 2024 17: +0,0.313,2816
Jan 30 2024 18: +0,0.32,3867
Jan 30 2024 19: +0,0.32,3222
Jan 30 2024 20: +0,0.322,3039
Jan 30 2024 21: +0,0.32,2823
Jan 30 2024 22: +0,0.324,2770
Jan 30 2024 23: +0,0.329,2143
Jan 31 2024 00: +0,0.324,1749
Jan 31 2024 01: +0,0.323,1750
Jan 31 2024 02: +0,0.32,1753
Jan 31 2024 03: +0,0.31,2173
Jan 31 2024 04: +0,0.312,2849
Jan 31 2024 05: +0,0.314,2322
Jan 31 2024 06: +0,0.32,2525
Jan 31 2024 07: +0,0.315,2428
Jan 31 2024 08: +0,0.314,2100
Jan 31 2024 09: +0,0.312,2675
Jan 31 2024 10: +0,0.31,2936
Jan 31 2024 11: +0,0.303,3076
Jan 31 2024 12: +0,0.3,3598
Jan 31 2024 13: +0,0.3,3549
Jan 31 2024 14: +0,0.29,4155
Jan 31 2024 15: +0,0.291,4760
Jan 31 2024 16: +0,0.29,4134
Jan 31 2024 17: +0,0.288,4213
Jan 31 2024 18: +0,0.288,5067
Jan 31 2024 19: +0,0.288,4725
Jan 31 2024 20: +0,0.28,4428
Jan 31 2024 21: +0,0.282,5237
Jan 31 2024 22: +0,0.28,3742
Jan 31 2024 23: +0,0.283,3290
Feb 01 2024 00: +0,0.28,2499
Feb 01 2024 01: +0,0.287,2526
Feb 01 2024 02: +0,0.291,2280
Feb 01 2024 03: +0,0.3,2288
Feb 01 2024 04: +0,0.3,2282
Feb 01 2024 05: +0,0.3,2452
Feb 01 2024 06: +0,0.3,2392
Feb 01 2024 07: +0,0.312,5403
Feb 01 2024 08: +0,0.31,2470
Feb 01 2024 09: +0,0.3,3037
Feb 01 2024 10: +0,0.3,3159
Feb 01 2024 11: +0,0.299,2449
Feb 01 2024 12: +0,0.298,2825
Feb 01 2024 13: +0,0.298,3807
Feb 01 2024 14: +0,0.289,3898
Feb 01 2024 15: +0,0.29,3279
Feb 01 2024 16: +0,0.293,4079
Feb 01 2024 17: +0,0.29,3542
Feb 01 2024 18: +0,0.293,3727
Feb 01 2024 19: +0,0.293,4419
Feb 01 2024 20: +0,0.293,4256
Feb 01 2024 21: +0,0.293,3583
Feb 01 2024 22: +0,0.29,2953
Feb 01 2024 23: +0,0.292,2702
Feb 02 2024 00: +0,0.292,2111
Feb 02 2024 01: +0,0.299,1956
Feb 02 2024 02: +0,0.305,2231
Feb 02 2024 03: +0,0.31,2239
Feb 02 2024 04: +0,0.3,1728
Feb 02 2024 05: +0,0.3,3015
Feb 02 2024 06: +0,0.3,2089
Feb 02 2024 07: +0,0.3,1948
Feb 02 2024 08: +0,0.3,1919
Feb 02 2024 09: +0,0.3,2252
Feb 02 2024 10: +0,0.295,1957
Feb 02 2024 11: +0,0.294,2426
Feb 02 2024 12: +0,0.303,2838
Feb 02 2024 13: +0,0.303,2748
Feb 02 2024 14: +0,0.303,3610
Feb 02 2024 15: +0,0.3,3147
Feb 02 2024 16: +0,0.3,3635
Feb 02 2024 17: +0,0.303,4289
Feb 02 2024 18: +0,0.303,3508
Feb 02 2024 19: +0,0.303,3922
Feb 02 2024 20: +0,0.303,4133
Feb 02 2024 21: +0,0.314,4421
Feb 02 2024 22: +0,0.303,3177
Feb 02 2024 23: +0,0.306,2714
Feb 03 2024 00: +0,0.31,2442
Feb 03 2024 01: +0,0.319,2595
Feb 03 2024 02: +0,0.32,3583
