date,price,quantity
Dec 22 2023 01: +0,0.299,80593
Dec 23 2023 01: +0,0.299,78289
Dec 24 2023 01: +0,0.301,75264
Dec 25 2023 01: +0,0.303,65954
Dec 26 2023 01: +0,0.305,74541
Dec 27 2023 01: +0,0.292,106053
Dec 28 2023 01: +0,0.288,88503
Dec 29 2023 01: +0,0.289,82179
Dec 30 2023 01: +0,0.297,82352
Dec 31 2023 01: +0,0.301,68236
Jan 01 2024 01: +0,0.304,67291
Jan 02 2024 01: +0,0.291,57096
Jan 03 2024 01: +0,0.274,102065
Jan 04 2024 01: +0,0.271,88711
Jan 05 2024 01: +0,0.276,68275
Jan 06 2024 01: +0,0.272,64868
Jan 07 2024 01: +0,0.273,62762
Jan 08 2024 01: +0,0.276,57976
Jan 09 2024 01: +0,0.275,60615
Jan 10 2024 01: +0,0.263,93995
Jan 11 2024 01: +0,0.257,81670
Jan 12 2024 01: +0,0.254,67039
Jan 13 2024 01: +0,0.248,63657
Jan 14 2024 01: +0,0.249,58698
Jan 15 2024 01: +0,0.248,52079
Jan 16 2024 01: +0,0.242,43619
Jan 17 2024 01: +0,0.223,83779
Jan 18 2024 01: +0,0.214,69052
Jan 19 2024 01: +0,0.217,67419
Jan 20 2024 01: +0,0.214,73475
Jan 21 2024 01: +0,0.213,44426
Jan 21 2024 17: +0,0.212,3360
Jan 21 2024 18: +0,0.213,3803
Jan 21 2024 19: +0,0.209,3055
Jan 21 2024 20: +0,0.211,3214
Jan 21 2024 21: +0,0.21,3590
Jan 21 2024 22: +0,0.206,2849
Jan 21 2024 23: +0,0.206,2303
Jan 22 2024 00: +0,0.202,1512
Jan 22 2024 01: +0,0.202,1090
Jan 22 2024 02: +0,0.209,1477
Jan 22 2024 03: +0,0.207,1198
Jan 22 2024 04: +0,0.207,1128
Jan 22 2024 05: +0,0.21,1750
Jan 22 2024 06: +0,0.21,1946
Jan 22 2024 07: +0,0.21,1390
Jan 22 2024 08: +0,0.21,1729
Jan 22 2024 09: +0,0.206,1760
Jan 22 2024 10: +0,0.212,3139
Jan 22 2024 11: +0,0.204,2198
Jan 22 2024 12: +0,0.204,2538
Jan 22 2024 13: +0,0.205,2855
Jan 22 2024 14: +0,0.2,2775
Jan 22 2024 15: +0,0.206,2773
Jan 22 2024 16: +0,0.201,2976
Jan 22 2024 17: +0,0.2,2667
Jan 22 2024 18: +0,0.195,2506
