date,price,quantity
Apr 09 2022 01: +0,0.118,108129
Apr 10 2022 01: +0,0.124,97927
Apr 11 2022 01: +0,0.122,87351
Apr 12 2022 01: +0,0.117,77100
Apr 13 2022 01: +0,0.114,72781
Apr 14 2022 01: +0,0.11,81316
Apr 15 2022 01: +0,0.109,90733
Apr 16 2022 01: +0,0.111,88258
Apr 17 2022 01: +0,0.111,81202
Apr 18 2022 01: +0,0.111,73306
Apr 19 2022 01: +0,0.11,67113
Apr 20 2022 01: +0,0.112,66786
Apr 21 2022 01: +0,0.109,70940
Apr 22 2022 01: +0,0.109,81017
Apr 23 2022 01: +0,0.105,87044
Apr 24 2022 01: +0,0.112,93986
Apr 25 2022 01: +0,0.109,69146
Apr 26 2022 01: +0,0.109,77604
Apr 27 2022 01: +0,0.109,70355
Apr 28 2022 01: +0,0.111,75383
Apr 29 2022 01: +0,0.112,80869
Apr 30 2022 01: +0,0.114,87553
May 01 2022 01: +0,0.111,86980
May 02 2022 01: +0,0.111,84394
May 03 2022 01: +0,0.11,78462
May 04 2022 01: +0,0.099,117763
May 05 2022 01: +0,0.098,78667
May 06 2022 01: +0,0.099,85721
May 07 2022 01: +0,0.1,77531
May 08 2022 01: +0,0.097,81841
May 09 2022 01: +0,0.097,67975
May 10 2022 01: +0,0.093,67726
May 11 2022 01: +0,0.092,76567
May 12 2022 01: +0,0.093,70268
May 13 2022 01: +0,0.093,75839
May 14 2022 01: +0,0.092,79287
May 15 2022 01: +0,0.095,82256
May 16 2022 01: +0,0.091,62700
May 17 2022 01: +0,0.092,68401
May 18 2022 01: +0,0.091,75533
May 19 2022 01: +0,0.093,72760
May 20 2022 01: +0,0.099,75683
May 21 2022 01: +0,0.096,78986
May 22 2022 01: +0,0.096,80675
May 23 2022 01: +0,0.094,70729
May 24 2022 01: +0,0.093,69107
May 25 2022 01: +0,0.094,74556
May 26 2022 01: +0,0.095,75477
May 27 2022 01: +0,0.095,78029
May 28 2022 01: +0,0.096,79468
May 29 2022 01: +0,0.095,87359
May 30 2022 01: +0,0.097,71210
May 31 2022 01: +0,0.096,73971
Jun 01 2022 01: +0,0.103,82272
Jun 02 2022 01: +0,0.103,78204
Jun 03 2022 01: +0,0.104,114847
Jun 04 2022 01: +0,0.102,103239
Jun 05 2022 01: +0,0.099,97863
Jun 06 2022 01: +0,0.102,89361
Jun 07 2022 01: +0,0.102,76934
Jun 08 2022 01: +0,0.1,71048
